,full,no_csa,no_rpa,single_alpha,gbm,no_agents_all_alphas
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
2021-01-07,0.23793902023107055,0.390511197578876,0.3133050515596526,0.01305376306053637,0.16310226541183712,0.08786053571759342
2021-01-08,0.15984639412882115,0.3931130007455112,0.31530967790170006,0.00954619799285638,0.15838561512496616,0.08357416268868545
2021-01-11,0.158988331129131,0.38819241104689317,0.3149933657963803,0.008116019006252986,0.15962087666585612,0.16106069628381678
2021-01-12,0.1585699525216174,0.39105023205493783,0.23573801991371485,0.010183020760733658,0.08413474523714978,0.158107159974772
2021-01-13,0.16133652057661474,0.38760248870537495,0.16178101393659902,0.007893267031304517,0.1619141965141431,0.08398247394612783
2021-01-14,0.15475190872250721,0.3880984709270143,0.30868380527738914,0.00753763990453931,0.1580628315415432,0.0818286529588538
2021-01-15,0.16008336544708823,0.38857084949993326,0.16599240757831724,0.004762415661402772,0.16035866328601264,0.083259402433697
2021-01-19,0.23248730079022412,0.3878871817557501,0.23506275978153324,0.08214824718346682,0.3884639205048338,0.08207506533673051
2021-01-20,0.38538756216860415,0.23303096630471312,0.15940582890376156,0.0847440269168658,0.15888167422664304,0.16110514103347223
2021-01-21,0.08150372020677368,0.39423639760709694,0.3149024802628292,0.08376861555584693,0.23783520607374098,0.1587595754470732
2021-01-22,0.15769407313521555,0.38802398590336745,0.23471355493780216,0.08436799181206697,0.15682241959948337,0.15977268581007542
2021-01-25,0.07990804333331944,0.38756507597866063,0.08172785016523537,0.08291280654567702,0.310299967285508,0.08178535048075727
2021-01-26,0.23769724921534915,0.3878094534934272,0.24260593786110984,0.08240232065646677,0.314711720808406,0.1595215064501638
2021-01-27,0.31299062754488266,0.3913025314901246,0.2371292465953617,0.007282229693840334,0.1589208792378528,0.006293673961348056
2021-01-28,0.3961440896385481,0.39315820975462656,0.24311924941248678,0.08471697982201486,0.23911288345220663,0.1684727090014114
2021-01-29,0.38814410339492805,0.3956812526640207,0.3863350286521601,0.010154176187762078,0.31367364628816286,0.2464699235305729
2021-02-01,0.1578412068244597,0.38858922707894283,0.23685163427866246,0.006924271012448198,0.31389534773348654,0.23775785723390438
2021-02-02,0.23672236971626048,0.3907345632846593,0.23853192230740183,0.08212616289407138,0.3875604396154439,0.2363091689445453
2021-02-03,0.3098331982533435,0.39024550567523886,0.23556268327873842,0.0033606464964054325,0.3135335253715465,0.08190446735342105
2021-02-04,0.3908167152431148,0.38854318997715354,0.3892816572441477,0.0060195618460485364,0.3131731052123173,0.08138233763933744
2021-02-05,0.38671370049662546,0.39036094881003175,0.15816851098902016,0.011519744177132196,0.3119559424800493,0.15942608869892508
2021-02-08,0.3901365198885154,0.3869026126266759,0.23543558433702697,0.004927474138240191,0.31295872717468587,0.23554559688068588
2021-02-09,0.24102119636213937,0.16089417862924,0.08246706327477765,0.006312105521204925,0.2394875280891418,0.15977385921798543
2021-02-10,0.16235743044415216,0.38853075832735184,0.08540915219869907,0.005622864634112254,0.23775764665653526,0.15580711047857695
2021-02-11,0.15908532332931027,0.390003756456822,0.3112807929358512,0.0062731951282137335,0.23592292789479913,0.15643747258364538
2021-02-12,0.2377952942602547,0.31261593983369107,0.16564372737257266,0.006442668218616561,0.16125341502005322,0.08392576322763429
2021-02-16,0.1590925142674588,0.38765098399156506,0.23637698113487943,0.006036816456806433,0.15607942171881503,0.08043680020744287
2021-02-17,0.1577160675870041,0.3894046606162277,0.08702914924587775,0.08538370944735105,0.23880111985806518,0.08302274820327235
2021-02-18,0.2344082477627162,0.38740998593525444,0.08066026114245281,0.006800441807008971,0.08294686796088319,0.15765496167443802
2021-02-19,0.23462104096060757,0.3920111091746406,0.23606569448423556,0.003423521291547278,0.08297797771726922,0.0063318565266939075
2021-02-22,0.2343299792493278,0.31563421270681746,0.3882400121520152,0.005601815463530904,0.3137488688204999,0.38663851851205555
2021-02-23,0.2395197629647327,0.39080331741149255,0.31143954417571473,0.0133001911825553,0.31486269807985756,0.3117189493547556
2021-02-24,0.1589868715103458,0.38606228045227303,0.3865576278198113,0.08510409182880058,0.3129384555853998,0.23510225866676612
2021-02-25,0.2382101310208743,0.393428864858018,0.31202946922839553,0.007297223808331352,0.31626236515463213,0.31022140200952775
2021-02-26,0.39376527407432255,0.3918347617571769,0.3136512391415555,0.008595943469291066,0.23844203149379103,0.3135349623137984
2021-03-01,0.38747680744834145,0.38968023178294126,0.23418772536975016,0.008779120485299212,0.16010433797610707,0.3112288481550543
2021-03-02,0.388927718736951,0.3899639572037281,0.39060342817489246,0.08357639761996383,0.3884379545897713,0.15945960335928458
2021-03-03,0.3883623766652611,0.3891065126889512,0.3102780613663589,0.005562624867461563,0.1577053317951818,0.38837015340153835
2021-03-04,0.0907053387110182,0.3896188430893997,0.31872257876556165,0.009771770508719801,0.16024927149959245,0.15737482791881835
2021-03-05,0.39233611366551857,0.3876199578583038,0.313865682582136,0.006940955043941446,0.3122948866476126,0.164776912200445
2021-03-08,0.38911271338104525,0.2392113734717127,0.1573590764438007,0.009143024706559172,0.2360620062533043,0.15869331552938643
2021-03-09,0.3212898635561583,0.16674122331703517,0.2424750713285508,0.08864125563022023,0.23507650376949554,0.09119267286627755
2021-03-10,0.16441021478700524,0.39147152282850617,0.3144963166105947,0.02102982392658044,0.3926810907316899,0.2406295759539412
2021-03-11,0.39302905634550395,0.3890943467567573,0.24095603186061598,0.08150615447555817,0.16146615203060896,0.16310420194890074
2021-03-12,0.16199583497751152,0.3137238602376934,0.3123989248043861,0.08529955215227779,0.1586117234045796,0.08201822993190355
2021-03-15,0.15885278487792132,0.38901936404386184,0.16090942433841393,0.08438696593721637,0.15681404264280485,0.15848179713630883
2021-03-16,0.15750658230894654,0.38826057356023747,0.2372479355552481,0.08189264143173125,0.1590546936341824,0.15849253344646932
2021-03-17,0.23315027889476092,0.3896263738084503,0.389419418513816,0.008419016995011783,0.2363798875739735,0.1601880104820463
2021-03-18,0.38933960150139457,0.3121753907906958,0.2358201885182561,0.08374842826673295,0.15980407382585068,0.23415782327947474
2021-03-19,0.08619443240139035,0.39097983834919114,0.2384085115559987,0.008410559265177857,0.311589103464963,0.16229990586468038
2021-03-22,0.23250255712666063,0.3102307783784127,0.3134712459028718,0.08183694942874771,0.235612240217859,0.2325878215835959
2021-03-23,0.16045955252409907,0.3866171335619888,0.1598911670901324,0.007820841634572945,0.15998546474107606,0.31251930316834176
2021-03-24,0.1625347823026254,0.3873500174648542,0.31196287641822185,0.08433256101194228,0.16120654127361356,0.15731807278660895
2021-03-25,0.31441601862280927,0.38847774839790045,0.2350849101504093,0.005230986230032715,0.1598451254127769,0.23665062003160967
2021-03-26,0.23460482601043794,0.38736850121989985,0.15845670606225343,0.010238577748190474,0.1591362960885404,0.23417192724820152
2021-03-29,0.16165954683451983,0.31231315605807775,0.2354403907972445,0.08237803274647135,0.3113209335249896,0.15935232701035926
2021-03-30,0.2367622193070389,0.1566799648139301,0.31279016189672654,0.00446872816594486,0.23533253616245842,0.31109105455679487
2021-03-31,0.08575243931364071,0.3094941946215569,0.2391181437954222,0.08595004801551831,0.23804952855983227,0.1573395968180658
2021-04-01,0.15857006384892827,0.3899522206078381,0.3101092311721193,0.0864428758568331,0.23381466328896836,0.15761580710746853
2021-04-05,0.09030015585599988,0.38834023965607334,0.4661701278756493,0.2363165610922741,0.1643487160465314,0.16167907131924059
2021-04-06,0.38561273580538324,0.3895274023513898,0.23116163253649288,0.008894999891374912,0.23406809256273722,0.08339043634033064
2021-04-07,0.15645766110873122,0.46307794582502493,0.3867455451705586,0.08250393301000049,0.15728858965009032,0.23491215335026452
2021-04-08,0.08046305081239591,0.38615365324917383,0.38740429154072276,0.08260569951905983,0.15675679296136785,0.08273057618651747
