,full,no_csa,no_rpa,single_alpha,gbm,no_agents_all_alphas
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,0.0183598695415393,-0.014676920632520863,0.018783574585848024,0.001466042602660982,0.019358233987620755,0.02141507980709801
2021-01-07,0.009935050994536964,0.010103414341138048,0.010897360176407148,0.030002505299461503,0.010204629066906985,0.01456439219031704
2021-01-08,-0.002049616198031499,0.009850594796093695,0.003751208105399153,0.012495751104401232,-0.001357126571385835,-0.00941978190318144
2021-01-11,0.002781824271663232,-0.0037930773611123915,-0.015366871755594199,-0.012979863953696172,0.005669265429340824,-0.0039035907871177978
2021-01-12,0.006499552566786599,0.00025183386109098104,0.012376566580978608,-0.003905408703476212,0.01453367707573277,0.0019111872109197022
2021-01-13,0.0006433100153812213,0.0021081081873773203,0.0011696804431183387,-0.007123212875656572,0.0008236672339169222,-0.0002828456301793808
2021-01-14,0.0070880425625528334,-0.00031218851261988656,0.02687716735427032,-0.007715174346857834,0.02577243972352873,0.003667435292540211
2021-01-15,-0.001506136525664063,-0.004575776667859825,-0.01252375295355392,-0.01286691810406106,-0.0033616691833726867,-2.555430024389399e-05
2021-01-19,0.0005686208260319975,0.005535581922239633,0.006078827613559832,0.009317770133336107,0.006412115270831332,0.011227223754058716
2021-01-20,0.005066271601876636,0.025701423092063247,0.012831970537869287,0.013034971461513046,0.00886576767431823,0.005629293398904877
2021-01-21,8.035671579987604e-05,-0.001046077932921441,-0.003717035520292721,0.0009060748338455103,-0.011288165338756968,0.010261202124169998
2021-01-22,-0.005791850431346754,-0.00510057457324899,-0.008787018699018793,-0.006300958272141901,-0.0019244054754749339,-0.001224590837785981
2021-01-25,-0.0017064853152100215,-0.0008812617601449313,-0.003323731960064881,-0.0003815077042108256,-0.006102816583185786,0.012411367906245242
2021-01-26,-0.0004973157105951577,-0.004711431577531605,-0.004643014765692476,-0.009533183971330806,-0.01287371626125797,0.006270630325115485
2021-01-27,-0.020798836861830306,-0.014178389642665414,-0.021015356234209005,-0.04183079803789377,-0.007218027579747802,-0.010316397388714782
2021-01-28,0.016538263901144455,0.014624871342503011,0.02286657458125719,0.019481402274551307,0.02669650699499702,-0.015938076025129647
2021-01-29,-0.018393167509373445,-0.021637573983678878,-0.03124974832461915,-0.0188039210581588,-0.02335449337103777,-0.018533172889480757
2021-02-01,0.016465997285258594,0.00917349222784693,0.017986031620320784,0.024458995666316565,0.012256957541920637,0.013894912390038082
2021-02-02,0.022352352160118688,0.00582990131915729,0.022445031977712176,0.027179477215797426,0.02602017187687328,0.01443370518474718
2021-02-03,0.01003633956372065,0.012794610244244425,0.004697789073832193,-0.0012948199592323917,0.02188060445686939,-0.00036645438230433245
2021-02-04,0.01888472811509372,0.010992787993339163,0.021971807470850594,0.02328134019147463,0.01664923274026751,0.016234059698367886
2021-02-05,0.0025561476156698354,-0.003892680341697806,0.0030361673448647823,0.01461546943810013,0.008722420104072894,0.0034637322223637183
2021-02-08,0.009917874568472759,0.01653622753949987,0.00830631197765583,0.0005101830040087099,0.016648231772500088,0.016361974830428283
2021-02-09,-0.004152995419171382,-0.0008883253568422026,-0.0064920285056392175,-0.001391722615923967,-0.009366898861779993,-0.0017588980226500744
2021-02-10,0.005240765307473689,0.005305711779826008,-0.0021367064056012374,-0.006184155199094663,0.005222324512342212,-0.00438528215359019
2021-02-11,-0.0003496994543183711,-0.00036693598673966424,-0.009505255550070143,0.001081885301805342,-0.006705015375391494,0.005935020650492913
2021-02-12,0.0050330777667612165,0.005480027685257468,0.005832430787849452,0.00531824486575067,0.005506098152091893,0.0024348877347788287
2021-02-16,0.007312322982285373,-0.001987519783132592,0.01713202101529427,-0.004406928150594017,0.018969735278549855,-0.003022655269226856
2021-02-17,0.0024559623468086633,-0.002932257285863899,0.007847445270876356,-0.008291865923762897,0.011055730454164218,-0.0012331657434949514
2021-02-18,-0.0006149653706583817,-0.011382053747605397,-0.0014110877700908447,-0.0031374655518659773,-0.0032908934687194604,0.006572133194633516
2021-02-19,0.006179758647814752,0.006127275453850355,0.0024837115730062063,0.012216123273873216,0.009522846625357032,-0.002395826107208727
2021-02-22,-0.005038868932591509,-0.00890892449578398,-0.020392069577600522,-0.022319587574278606,0.010386125178323637,-0.0059747399906217545
2021-02-23,0.0042409779678759165,-0.0019119717433971385,-0.0015930947051261842,-0.005141848425812437,0.0075245305313222,-1.726504508153424e-05
2021-02-24,0.013817481602560935,0.022539405064290575,0.007669029398526454,0.027332414882759185,0.02060080487729046,0.007599997825767592
2021-02-25,-0.017369604167722145,-0.038817627961474935,-0.03146239213475489,-0.040110638503088096,-0.02856018333965432,-0.02399117948238095
2021-02-26,-0.012572260068007176,0.007088950146282979,0.0034773955060521606,-0.0052760416039078824,-0.0019601586833751196,-0.008263026112812533
2021-03-01,0.029879574176928502,0.021473431832655685,0.0286568244827673,0.017877745878639082,0.009486997201506116,0.02637964525612537
2021-03-02,-0.006311855152033766,-0.007520789673463164,-0.0036299704232064097,-0.012610661135591778,-0.00065279339160727,-0.010071816985744775
2021-03-03,-0.010747174929998942,-0.008698139737745726,-0.00598855981929442,-0.034355703329239894,0.00018215686828738388,-0.01163752756660349
2021-03-04,-0.01511198307101482,-0.014629170479212321,-0.010327338281754413,-0.027448828349286563,-0.008490103680491884,-0.022654565405179558
2021-03-05,0.022473045614832134,0.016585896824828337,0.02928690187830965,0.015776348969979134,0.024588850039629382,0.028307215053206422
2021-03-08,-0.0104445294102549,-0.01977988592132924,-0.0015884826950345928,-0.02237421550849294,0.008168505402458975,-0.0010353748903832501
2021-03-09,0.025603008105445902,0.02408130786637078,0.016835263108853287,0.025666045223911988,0.0021886504044919676,0.014145329084922694
2021-03-10,-0.0003012238895581361,0.0009949580811877095,0.007325074768826944,0.001252182567167321,0.026144295567723793,0.011929372235138801
2021-03-11,0.007421336025990224,0.020572744368943074,0.01648102033344833,0.026010148651497856,0.0023974106623493993,0.009776719966869404
2021-03-12,0.005214733622231196,0.0047668146664629945,0.005342689976799952,-0.003846961358861645,0.003860269038403334,0.00355131332831295
2021-03-15,0.013239944986206346,0.0007265735144930969,0.01604525793559813,0.018503542903684975,0.011553318526329725,0.012473830273082149
2021-03-16,0.00022442865870036643,-0.008616801610094784,-0.005888128385814524,-0.022473961812183786,-0.003886328350514655,-0.00444958176950979
2021-03-17,0.003868339833057198,0.0025297028563536516,0.013070499881897723,0.008730548039396777,0.0036268258852805153,0.007780753181254606
2021-03-18,-0.02043910307481825,-0.004635839239482135,-0.008393689632792809,-0.03012377632568816,-0.021575569426020166,-0.012762686418984327
2021-03-19,0.004272941389230536,0.005069914072550505,0.004487764130614128,0.007289761747309852,0.007995475975259635,0.005711690164799717
2021-03-22,0.005129355706741754,0.010850913508843492,-0.004917449608817537,0.008905305466910552,0.0027154327125021344,0.010601098589003172
2021-03-23,-0.016909419627654295,-0.007666144966225265,-0.01879374908766301,-0.015157916273380976,-0.024485319380031206,-0.022949088421520183
2021-03-24,0.00882978103044929,0.00023609041731106163,0.003850274874966988,-0.019798641858388907,-0.0008939298711980058,-0.00039963115702734676
2021-03-25,0.0111960211016441,0.009334551016449378,0.014888799403574751,0.008941418618931368,0.018614453752776216,0.015757777919071507
2021-03-26,0.02486180320390777,0.01340751386474711,0.027401120895969494,0.013959835556516906,0.02074758601231678,0.02620819890482521
2021-03-29,-0.018107279449674222,0.0007329254103549167,-0.013628192562704814,-0.013327415141150092,-0.003320645387712681,-0.013561740258690136
2021-03-30,0.00646558366465451,0.0029497943085039246,0.0016358019639225454,0.0014308664904404838,0.01032782073437484,0.004147443557999257
2021-03-31,0.005103711925605129,0.006391047441386667,0.012164796151130055,0.01864469860415456,-0.001824483951717296,0.005195536585160732
2021-04-01,0.025972155757991146,0.0050905902648271835,0.01808156596500401,0.011270168785973644,0.020464714522012713,0.016678437500271565
