fold,variant,alpha,category,mean_ic,confidence_pct,risk_pct,score
fold_1,full,dividend_yield,fundamental,-0.041823439412313,0.9506172839506173,0.5679012345679012,0.7975308641975308
fold_1,full,asset_growth,growth,0.026433508135995147,0.8518518518518519,0.9012345679012346,0.8716049382716049
fold_1,full,ev_to_ebitda,liquidity,0.049215205979139295,1.0,0.5185185185185185,0.8074074074074074
fold_1,full,ma_reversion,mean_reversion,0.024525487042480556,0.8209876543209876,0.6851851851851852,0.7666666666666666
fold_1,full,rsi_momentum,momentum,-0.028033839781733478,0.8765432098765432,0.43209876543209874,0.6987654320987654
fold_1,full,interest_coverage,quality,0.03119283757081291,0.9012345679012346,0.7160493827160493,0.8271604938271605
fold_1,full,moving_average,technical,0.021044760959245956,0.7160493827160493,0.5432098765432098,0.6469135802469135
fold_1,full,atr,volatility,0.013271965672025788,0.5,0.845679012345679,0.6382716049382716
fold_1,no_csa,earnings_yield,fundamental,-0.024965380393502438,,0.654320987654321,0.654320987654321
fold_1,no_csa,cash_flow_growth,growth,0.0081138439713612,,0.9629629629629629,0.9629629629629629
fold_1,no_csa,debt_to_equity_liq,liquidity,-0.003047029773515487,,0.9814814814814815,0.9814814814814815
fold_1,no_csa,distance_from_high,mean_reversion,0.015651844118113073,,0.8024691358024691,0.8024691358024691
fold_1,no_csa,volume_momentum,momentum,-0.010791210981201442,,1.0,1.0
fold_1,no_csa,debt_to_equity,quality,-0.003047029773515487,,0.9814814814814815,0.9814814814814815
fold_1,no_csa,atr_technical,technical,0.013271965672025788,,0.845679012345679,0.845679012345679
fold_1,no_csa,atr,volatility,0.013271965672025788,,0.845679012345679,0.845679012345679
fold_1,no_rpa,cash_flow_yield,fundamental,-0.04189642635778366,0.9629629629629629,,0.9629629629629629
fold_1,no_rpa,asset_growth,growth,0.026433508135995147,0.8518518518518519,,0.8518518518518519
fold_1,no_rpa,ev_to_ebitda,liquidity,0.049215205979139295,1.0,,1.0
fold_1,no_rpa,ma_reversion,mean_reversion,0.024525487042480556,0.8209876543209876,,0.8209876543209876
fold_1,no_rpa,rsi_momentum,momentum,-0.028033839781733478,0.8765432098765432,,0.8765432098765432
fold_1,no_rpa,interest_coverage,quality,0.03119283757081291,0.9012345679012346,,0.9012345679012346
fold_1,no_rpa,cci,technical,-0.021242298058200874,0.7283950617283951,,0.7283950617283951
fold_1,no_rpa,ulcer_index,volatility,-0.021274181975794133,0.7407407407407407,,0.7407407407407407
fold_2,full,cash_flow_yield,fundamental,0.023776286218138886,0.8148148148148148,0.35802469135802467,0.6320987654320986
fold_2,full,dividends_growth,growth,-0.013943984198749326,0.41975308641975306,0.8395061728395061,0.5876543209876544
fold_2,full,turnover_rate,liquidity,0.023270927044478057,0.7901234567901234,0.7654320987654321,0.7802469135802469
fold_2,full,ema_reversion,mean_reversion,0.03491904274996821,0.9753086419753086,0.9259259259259259,0.9555555555555555
fold_2,full,dpo,momentum,-0.03018332779764331,0.9135802469135802,0.7037037037037037,0.8296296296296295
fold_2,full,cash_conversion_cycle,quality,0.029091211078261684,0.8765432098765432,0.9629629629629629,0.9111111111111111
fold_2,full,macd,technical,-0.03583738611194241,0.9876543209876543,0.7283950617283951,0.8839506172839506
fold_2,full,ulcer_index,volatility,0.0510916097456464,1.0,0.8024691358024691,0.9209876543209876
fold_2,no_csa,earnings_yield,fundamental,0.0030110295752623357,,0.6172839506172839,0.6172839506172839
fold_2,no_csa,dividends_growth,growth,-0.013943984198749326,,0.8395061728395061,0.8395061728395061
fold_2,no_csa,amihud_illiquidity,liquidity,0.007111281345521491,,1.0,1.0
fold_2,no_csa,ma_reversion,mean_reversion,0.030375800237195254,,0.9814814814814815,0.9814814814814815
fold_2,no_csa,adx_momentum,momentum,-0.017132822198095893,,0.9382716049382716,0.9382716049382717
fold_2,no_csa,cash_conversion_cycle,quality,0.029091211078261684,,0.9629629629629629,0.9629629629629629
fold_2,no_csa,macd,technical,-0.03583738611194241,,0.7283950617283951,0.728395061728395
fold_2,no_csa,volatility_ratio,volatility,0.023271042855905446,,0.9135802469135802,0.9135802469135802
fold_2,no_rpa,cash_flow_yield,fundamental,0.023776286218138886,0.8148148148148148,,0.8148148148148148
fold_2,no_rpa,revenue_growth,growth,-0.022556664203294236,0.7592592592592593,,0.7592592592592593
fold_2,no_rpa,liquidity_ratio,liquidity,0.02469564065458703,0.8271604938271605,,0.8271604938271605
fold_2,no_rpa,ema_reversion,mean_reversion,0.03491904274996821,0.9753086419753086,,0.9753086419753086
fold_2,no_rpa,dpo,momentum,-0.03018332779764331,0.9135802469135802,,0.9135802469135801
fold_2,no_rpa,cash_conversion_cycle,quality,0.029091211078261684,0.8765432098765432,,0.8765432098765432
fold_2,no_rpa,macd,technical,-0.03583738611194241,0.9876543209876543,,0.9876543209876543
fold_2,no_rpa,ulcer_index,volatility,0.0510916097456464,1.0,,1.0
fold_3,full,earnings_yield,fundamental,0.01030674671089299,0.6790123456790124,0.9135802469135802,0.7728395061728395
fold_3,full,cash_flow_growth,growth,0.02917489929378273,0.9629629629629629,0.8395061728395061,0.9135802469135802
fold_3,full,avg_trading_volume,liquidity,-0.013155463864799407,0.8024691358024691,0.8765432098765432,0.8320987654320988
fold_3,full,bollinger_position,mean_reversion,0.003488002739985341,0.2716049382716049,0.49382716049382713,0.36049382716049383
fold_3,full,atr_momentum,momentum,-0.022612118758881517,0.9259259259259259,0.9012345679012346,0.9160493827160494
fold_3,full,net_profit_margin,quality,0.0318200178056888,0.9876543209876543,0.6172839506172839,0.8395061728395061
fold_3,full,atr_technical,technical,0.008755573009032252,0.5864197530864198,0.7962962962962963,0.6703703703703704
