,full,no_csa,no_rpa,single_alpha,gbm,no_agents_all_alphas
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,0.0009999999999999998,0.0009999999999999998,0.0009999999999999998,0.0009999999999999998,0.0009999999999999998,0.0009999999999999998
2021-01-07,0.00047587804046214107,0.0007810223951577519,0.0006266101031193053,2.6107526121072743e-05,0.00032620453082367426,0.00017572107143518686
2021-01-08,0.0003196927882576423,0.0007862260014910224,0.0006306193558034002,1.909239598571276e-05,0.0003167712302499323,0.0001671483253773709
2021-01-11,0.000317976662258262,0.0007763848220937862,0.0006299867315927607,1.6232038012505974e-05,0.0003192417533317122,0.0003221213925676336
2021-01-12,0.00031713990504323483,0.0007821004641098756,0.00047147603982742974,2.0366041521467316e-05,0.00016826949047429957,0.000316214319949544
2021-01-13,0.00032267304115322947,0.0007752049774107499,0.00032356202787319806,1.5786534062609035e-05,0.0003238283930282862,0.00016796494789225567
2021-01-14,0.00030950381744501444,0.0007761969418540286,0.0006173676105547782,1.5075279809078621e-05,0.0003161256630830864,0.00016365730591770758
2021-01-15,0.0003201667308941765,0.0007771416989998664,0.0003319848151566345,9.524831322805544e-06,0.0003207173265720253,0.000166518804867394
2021-01-19,0.00046497460158044827,0.0007757743635115002,0.0004701255195630665,0.00016429649436693362,0.0007769278410096677,0.00016415013067346102
2021-01-20,0.0007707751243372083,0.00046606193260942624,0.00031881165780752314,0.0001694880538337316,0.00031776334845328607,0.0003222102820669445
2021-01-21,0.00016300744041354735,0.0007884727952141939,0.0006298049605256583,0.00016753723111169385,0.000475670412147482,0.0003175191508941464
2021-01-22,0.0003153881462704311,0.0007760479718067349,0.0004694271098756043,0.00016873598362413396,0.00031364483919896674,0.00031954537162015085
2021-01-25,0.0001598160866666389,0.0007751301519573213,0.00016345570033047074,0.00016582561309135403,0.0006205999345710161,0.00016357070096151456
2021-01-26,0.0004753944984306983,0.0007756189069868544,0.00048521187572221966,0.00016480464131293356,0.000629423441616812,0.0003190430129003276
2021-01-27,0.0006259812550897653,0.0007826050629802492,0.0004742584931907234,1.4564459387680667e-05,0.0003178417584757056,1.2587347922696113e-05
2021-01-28,0.0007922881792770962,0.0007863164195092532,0.00048623849882497357,0.00016943395964402972,0.0004782257669044133,0.0003369454180028228
2021-01-29,0.000776288206789856,0.0007913625053280414,0.0007726700573043202,2.0308352375524155e-05,0.0006273472925763257,0.0004929398470611458
2021-02-01,0.0003156824136489194,0.0007771784541578857,0.0004737032685573249,1.3848542024896395e-05,0.0006277906954669731,0.0004755157144678088
2021-02-02,0.000473444739432521,0.0007814691265693185,0.00047706384461480367,0.00016425232578814276,0.0007751208792308878,0.0004726183378890906
2021-02-03,0.000619666396506687,0.0007804910113504777,0.0004711253665574768,6.721292992810865e-06,0.000627067050743093,0.0001638089347068421
2021-02-04,0.0007816334304862296,0.000777086379954307,0.0007785633144882955,1.2039123692097073e-05,0.0006263462104246346,0.00016276467527867489
2021-02-05,0.0007734274009932509,0.0007807218976200635,0.00031633702197804035,2.3039488354264394e-05,0.0006239118849600987,0.00031885217739785016
2021-02-08,0.0007802730397770308,0.0007738052252533518,0.00047087116867405393,9.854948276480383e-06,0.0006259174543493717,0.0004710911937613718
2021-02-09,0.00048204239272427873,0.00032178835725847995,0.0001649341265495553,1.2624211042409849e-05,0.0004789750561782836,0.0003195477184359708
2021-02-10,0.0003247148608883043,0.0007770615166547037,0.00017081830439739815,1.1245729268224508e-05,0.0004755152933130705,0.00031161422095715393
2021-02-11,0.00031817064665862053,0.0007800075129136439,0.0006225615858717024,1.2546390256427466e-05,0.0004718458557895983,0.0003128749451672908
2021-02-12,0.00047559058852050936,0.0006252318796673821,0.0003312874547451453,1.2885336437233122e-05,0.00032250683004010644,0.00016785152645526857
2021-02-16,0.0003181850285349176,0.0007753019679831301,0.0004727539622697589,1.2073632913612867e-05,0.00031215884343763006,0.00016087360041488574
2021-02-17,0.0003154321351740082,0.0007788093212324554,0.0001740582984917555,0.0001707674188947021,0.0004776022397161304,0.00016604549640654472
2021-02-18,0.0004688164955254324,0.0007748199718705089,0.00016132052228490563,1.3600883614017942e-05,0.00016589373592176636,0.00031530992334887604
2021-02-19,0.0004692420819212152,0.0007840222183492811,0.00047213138896847113,6.847042583094557e-06,0.00016595595543453844,1.2663713053387815e-05
2021-02-22,0.0004686599584986556,0.0006312684254136349,0.0007764800243040303,1.1203630927061809e-05,0.0006274977376409998,0.0007732770370241112
2021-02-23,0.00047903952592946546,0.0007816066348229851,0.0006228790883514295,2.66003823651106e-05,0.0006297253961597152,0.0006234378987095112
2021-02-24,0.00031797374302069156,0.0007721245609045461,0.0007731152556396225,0.00017020818365760115,0.0006258769111707995,0.0004702045173335322
2021-02-25,0.00047642026204174857,0.0007868577297160359,0.000624058938456791,1.4594447616662704e-05,0.0006325247303092642,0.0006204428040190555
2021-02-26,0.0007875305481486451,0.0007836695235143538,0.0006273024782831111,1.719188693858213e-05,0.00047688406298758207,0.0006270699246275968
2021-03-01,0.0007749536148966829,0.0007793604635658825,0.0004683754507395003,1.7558240970598425e-05,0.00032020867595221417,0.0006224576963101086
2021-03-02,0.000777855437473902,0.0007799279144074563,0.0007812068563497849,0.00016715279523992765,0.0007768759091795426,0.00031891920671856916
2021-03-03,0.0007767247533305221,0.0007782130253779024,0.0006205561227327177,1.1125249734923126e-05,0.0003154106635903636,0.0007767403068030767
2021-03-04,0.0001814106774220364,0.0007792376861787993,0.0006374451575311233,1.9543541017439604e-05,0.0003204985429991849,0.00031474965583763666
2021-03-05,0.0007846722273310372,0.0007752399157166075,0.000627731365164272,1.3881910087882893e-05,0.0006245897732952253,0.00032955382440089
2021-03-08,0.0007782254267620905,0.00047842274694342535,0.0003147181528876014,1.8286049413118343e-05,0.00047212401250660863,0.00031738663105877285
2021-03-09,0.0006425797271123165,0.0003334824466340703,0.00048495014265710157,0.00017728251126044047,0.00047015300753899114,0.0001823853457325551
2021-03-10,0.0003288204295740105,0.0007829430456570124,0.0006289926332211894,4.205964785316088e-05,0.0007853621814633798,0.00048125915190788237
2021-03-11,0.0007860581126910079,0.0007781886935135146,0.000481912063721232,0.00016301230895111635,0.00032293230406121794,0.00032620840389780147
2021-03-12,0.000323991669955023,0.0006274477204753869,0.0006247978496087722,0.0001705991043045556,0.0003172234468091592,0.0001640364598638071
2021-03-15,0.00031770556975584265,0.0007780387280877237,0.00032181884867682784,0.00016877393187443275,0.0003136280852856097,0.0003169635942726177
2021-03-16,0.0003150131646178931,0.0007765211471204748,0.0004744958711104962,0.0001637852828634625,0.0003181093872683648,0.00031698506689293866
2021-03-17,0.0004663005577895218,0.0007792527476169005,0.000778838837027632,1.6838033990023565e-05,0.00047275977514794703,0.00032037602096409264
2021-03-18,0.0007786792030027892,0.0006243507815813915,0.00047164037703651215,0.00016749685653346592,0.0003196081476517014,0.00046831564655894946
2021-03-19,0.0001723888648027807,0.0007819596766983823,0.00047681702311199744,1.6821118530355714e-05,0.0006231782069299259,0.0003245998117293607
2021-03-22,0.0004650051142533212,0.0006204615567568253,0.0006269424918057435,0.0001636738988574954,0.000471224480435718,0.0004651756431671918
2021-03-23,0.00032091910504819814,0.0007732342671239776,0.0003197823341802648,1.564168326914589e-05,0.00031997092948215215,0.0006250386063366835
2021-03-24,0.00032506956460525083,0.0007747000349297083,0.0006239257528364437,0.00016866512202388457,0.0003224130825472271,0.0003146361455732179
2021-03-25,0.0006288320372456185,0.000776955496795801,0.0004701698203008186,1.046197246006543e-05,0.00031969025082555376,0.0004733012400632194
2021-03-26,0.0004692096520208759,0.0007747370024397996,0.0003169134121245069,2.0477155496380946e-05,0.00031827259217708084,0.000468343854496403
2021-03-29,0.0003233190936690397,0.0006246263121161555,0.00047088078159448896,0.0001647560654929427,0.0006226418670499792,0.0003187046540207185
