strategy,capm_alpha_annual,capm_alpha_t,capm_alpha_p,capm_beta,capm_r2,sector_alpha_annual,sector_alpha_t,sector_alpha_p,sector_model_r2,sector_beta_market
full,-0.1207277703461278,-2.062889525908473,0.039123125490023086,1.1724278665721808,0.7230541676583324,-0.09746883307274268,-2.0632739419863366,0.03908660837523399,0.810609435378821,-0.06251382563983172
no_csa,-0.08761703957527689,-1.6410748992422661,0.10078186846303044,1.0400972597466014,0.680952634431873,-0.06945436530443594,-1.3632852587414355,0.17279262603487455,0.7682185722495061,-0.07326776606253707
no_rpa,-0.124736573701828,-2.104392161266565,0.03534425263169013,1.230236408558417,0.7102044385028098,-0.09592695177197674,-1.854393700950338,0.0636828553341553,0.8176042604964996,-0.27158076952809385
single_alpha,-0.06459280357224362,-0.8494133346597055,0.3956513357602446,0.9483692326668528,0.5310521021570038,-0.06214330381036848,-0.857383470287905,0.3912329915116629,0.5777470175908324,0.2307005230403367
gbm,-0.08241107613339294,-1.2411941636457673,0.21453403035698093,1.0966124465777423,0.6937269293379351,-0.07081183717586836,-1.3451045202331429,0.1785914836874355,0.8079564899325407,-0.09161405729709353
no_agents_all_alphas,-0.09029960818606808,-1.9482156418078003,0.05138916596757143,0.9714980867629308,0.7271020946651949,-0.07015456691900301,-1.785999374583638,0.07409935940016228,0.8259438006607972,-0.16224509520579902
