strategy,mean_daily_return,hac_t_stat,hac_p_value,hac_lags,sharpe_point,sharpe_ci_low,sharpe_ci_high,bootstrap_p_sharpe_le_0,excess_vs_sp500_cap_weight_daily,excess_vs_sp500_cap_weight_t,excess_vs_sp500_cap_weight_p,excess_vs_sp500_equal_weight_daily,excess_vs_sp500_equal_weight_t,excess_vs_sp500_equal_weight_p,excess_vs_universe_equal_weight_daily,excess_vs_universe_equal_weight_t,excess_vs_universe_equal_weight_p
full,0.00012507108444036964,0.2608690828908477,0.7941934677804896,6,0.049721683620810427,-0.9053889745700202,0.9452811397522957,0.48,-0.0004169658493663781,-1.6048839371086001,0.10851934915826077,-0.0002842560035837504,-1.1891249894135423,0.23439048615131175,-0.0003319211247457068,-1.4264324299384739,0.1537435582577384
no_csa,0.00019996643243766723,0.4877539689055768,0.6257241195719592,6,0.1435191845476105,-0.7483687191956042,1.0060384212932276,0.3765,-0.00034207050136908046,-1.5287050014042376,0.1263375918811878,-0.00020936065558645276,-0.957857562838536,0.3381345880983656,-0.00025702577674840943,-1.2017742016631727,0.22945102334929068
no_rpa,0.00013828132235436304,0.28116610998463276,0.7785829968774611,6,0.06053568174938167,-0.961396839146759,1.021558361352148,0.4785,-0.00040375561145238465,-1.5047938652412731,0.13237708147978974,-0.0002710457656697572,-1.0450715273456923,0.2959899123487414,-0.0003187108868317133,-1.2625096335509207,0.20676546202839263
single_alpha,0.00024911268078057965,0.5504219078039646,0.5820300257805427,6,0.19564467603829186,-0.7105951427172685,1.2296315910519118,0.3455,-0.0002929242530261681,-0.9498409688144374,0.34219306534695415,-0.00016021440724354045,-0.5363122496936296,0.5917427659717704,-0.00020787952840549694,-0.6918180780692365,0.4890515822124337
gbm,0.00025316988821023586,0.5297419523114757,0.5962908566312626,6,0.19800500677239283,-0.8409464112136027,1.2808636756568756,0.38,-0.00028886704559651186,-1.044973868058752,0.29603504731202146,-0.00015615719981388433,-0.6397556489077497,0.5223314704448765,-0.00020382232097584067,-0.845297951469846,0.39794450453496866
no_agents_all_alphas,0.00015110290608045195,0.41215517142017083,0.6802256923311777,6,0.09444462393746435,-0.9514618140487016,1.0180722332235796,0.4655,-0.00039093402772629593,-2.017115090898112,0.043683504146367284,-0.0002582241819436683,-1.4523572876974573,0.14640228607310463,-0.0003058893031056247,-1.7619969575097076,0.07806981153134993
