fold,variant,test_window,n_selected,selected,cum_return_gross,cum_return_net,ann_return_net,ann_vol_net,sharpe_gross,sharpe_net,sortino_net,calmar_net,max_dd_net,mean_daily_turnover,ann_cost_drag,note
fold_1,full,2021-01-01..2021-06-30,8,"dividend_yield,asset_growth,ev_to_ebitda,ma_reversion,rsi_momentum,interest_coverage,moving_average,atr",0.28227885328937363,0.2166892832847067,0.48972840015356267,0.1618221486588688,3.0760477747212174,2.4217102889506252,3.4689739798913197,12.949673433526282,-0.03781781854712041,0.2121882506903881,0.10694287834795561,
fold_1,no_csa,2021-01-01..2021-06-30,8,"earnings_yield,cash_flow_growth,debt_to_equity_liq,distance_from_high,volume_momentum,debt_to_equity,atr_technical,atr",0.3102635808858365,0.1976430430671261,0.44271810653955157,0.16952352572385782,3.213217636532819,2.129945741061592,2.926586572129055,8.13719339459339,-0.054406732772715904,0.362955342650025,0.18292949269561254,
fold_1,no_rpa,2021-01-01..2021-06-30,8,"cash_flow_yield,asset_growth,ev_to_ebitda,ma_reversion,rsi_momentum,interest_coverage,cci,ulcer_index",0.2790232875217895,0.2007216293328884,0.4502648588180267,0.19042143375807424,2.618764437840491,1.94321611373283,2.791050774439268,7.577703608503366,-0.05941969785051493,0.2551463759658489,0.12859377348678777,
fold_1,single_alpha,2021-01-01..2021-06-30,1,ev_to_ebitda,0.03463696854856724,0.02480079390213419,0.05104694574422619,0.2329766362498817,0.327193884706237,0.2438888795942314,0.3406453945955784,0.3570246270119407,-0.14297878040362444,0.03855918033167783,0.019433826887165627,
fold_1,gbm,2021-01-01..2021-06-30,8,,0.37796304639317335,0.3017131432996425,0.7089313678400426,0.18084131083874921,3.5794475135510124,2.9453227579537864,4.695478299779199,12.295806550415273,-0.057656353402542715,0.23019315983432365,0.11601735255649911,
fold_1,no_agents_all_alphas,2021-01-01..2021-06-30,81,,0.26123672221787686,0.20704908258216026,0.4658385826609106,0.17463138666467895,2.6791529803983756,2.1635690364774165,3.4228873854523463,7.164681739978722,-0.06501874047824685,0.1772708432376375,0.08934450499176932,
fold_2,full,2021-07-01..2021-12-31,8,"cash_flow_yield,dividends_growth,turnover_rate,ema_reversion,dpo,cash_conversion_cycle,macd,ulcer_index",0.04181060066252895,-0.004517007958547925,-0.008873401585898999,0.18350830700845433,0.4217582371747489,-0.06663760293725722,-0.11595115016661242,-0.08351168839188758,-0.10625340903490788,0.17759686913205353,0.08950882204255498,
fold_2,no_csa,2021-07-01..2021-12-31,8,"earnings_yield,dividends_growth,amihud_illiquidity,ma_reversion,adx_momentum,cash_conversion_cycle,macd,volatility_ratio",0.0876489770704254,0.020434967234590262,0.04062947477383938,0.206428146528429,0.8082736435605928,0.1983088601279379,0.34328140570461935,0.38945745487486055,-0.10432326885845422,0.2490648939990528,0.1255287065755226,
fold_2,no_rpa,2021-07-01..2021-12-31,8,"cash_flow_yield,revenue_growth,liquidity_ratio,ema_reversion,dpo,cash_conversion_cycle,macd,ulcer_index",0.006616468759945704,-0.0561619707827391,-0.10755923873797202,0.20865488915312022,0.0698207521962371,-0.5376576125960656,-0.8915490287793671,-0.8584663543570289,-0.1252923171561352,0.2515074220522834,0.12675974071435084,
fold_2,single_alpha,2021-07-01..2021-12-31,1,ulcer_index,0.03676832419527609,0.009040523818679036,0.01787646378002572,0.2725004053430959,0.3226159907628949,0.12667489708359952,0.20569516788860595,0.14177883742533992,-0.1260869682997604,0.1056519885140284,0.05324860221107032,
fold_2,gbm,2021-07-01..2021-12-31,8,,0.08388772159479418,0.015001605197496826,0.029748985738129008,0.19839851134512593,0.7977838716542432,0.1455733137676113,0.21471249883955992,0.3474189569086823,-0.08562856213384007,0.2565168296259964,0.12928448213150218,
fold_2,no_agents_all_alphas,2021-07-01..2021-12-31,81,,0.15806049170927428,0.11302438432830186,0.23468475793222976,0.1678277351751814,1.686905376184372,1.2207284538480438,2.0652249444312445,3.8307499966009178,-0.061263397021593446,0.15507198959700663,0.07815628275689133,
fold_3,full,2022-01-01..2022-06-30,8,"earnings_yield,cash_flow_growth,avg_trading_volume,bollinger_position,atr_momentum,net_profit_margin,atr_technical,volatility_ratio",-0.21589747683548344,-0.26076137274872235,-0.458826464429678,0.3973665325811882,-1.0967792719622484,-1.3961572204737347,-2.2540302938256307,-1.7065905453668517,-0.2688556230874043,0.2367354900982772,0.11931468700953173,
fold_3,no_csa,2022-01-01..2022-06-30,8,"earnings_yield,retained_earnings_growth,amihud_illiquidity,bollinger_position,volume_momentum,earnings_stability,atr_technical,volatility_ratio",-0.16362908248534358,-0.23731183175301607,-0.4233679724517101,0.3427398013296319,-0.9475504528415163,-1.4930517224974442,-2.611755736205451,-1.6598316985093933,-0.25506680757568034,0.3710655473290603,0.18701703585384638,
fold_3,no_rpa,2022-01-01..2022-06-30,8,"price_to_earnings,cash_flow_growth,return_on_assets,rsi_reversion,atr_momentum,operating_profit_margin,macd,ulcer_index",-0.3109766123680424,-0.3297292639692244,-0.5564978937261347,0.35145476113415786,-2.0346284127003447,-2.192206056757141,-3.8955657054147075,-1.59709982486979,-0.348442774246441,0.11073993414809134,0.05581292681063803,
