label,n_days,cum_return,ann_return,ann_volatility,sharpe,sortino,calmar,max_drawdown,hit_rate,mean_daily_turnover,ann_turnover,ann_cost_drag,cum_return_gross,sharpe_gross,kind
full,877,0.01655538091050346,0.0047292759523727135,0.23164769252005912,0.049721683620810427,0.07113285041249455,0.01312539972649047,-0.36031481333309834,0.5039908779931584,0.19925157053479858,50.211395774769244,0.1004227915495385,0.44187250987244164,0.483407005710801,strategy
no_csa,877,0.10231313570557599,0.028385749114805403,0.2117594318145683,0.1435191845476105,0.21231411482758722,0.08314544839828378,-0.3413987134789608,0.5017103762827823,0.24614974206459606,62.02973500027821,0.12405947000055643,0.6975284817859491,0.7299283779547332,strategy
no_rpa,877,0.017044972246279766,0.004868296235107428,0.24525854511337233,0.06053568174938167,0.09243777997632878,0.010592162550968228,-0.45961305934286456,0.5165336374002281,0.20265965026926588,51.070231867855,0.10214046373570998,0.45109408769306025,0.47697213352377976,strategy
single_alpha,877,0.14479843986000462,0.03962182462970465,0.21864328957427806,0.19564467603829186,0.28651983611364495,0.14251666849933203,-0.27801537214498073,0.5062713797035348,0.071680076226391,18.06337920905053,0.03612675841810107,0.29824391498313063,0.3610393247046319,strategy
gbm,877,0.14660694578140543,0.04009347797932139,0.2212005269105455,0.19800500677239283,0.28350992568672884,0.08444830920622176,-0.47476945786343216,0.5131128848346637,0.24162700655073938,60.89000565078632,0.12178001130157264,0.7516115011189406,0.7487076065324118,strategy
no_agents_all_alphas,877,0.07124888765608484,0.01997328996740788,0.19141303738203297,0.09444462393746435,0.14051113521752628,0.05822407100503494,-0.34304179736385465,0.5119726339794755,0.19721629928955786,49.69850742096858,0.09939701484193715,0.5141571785951538,0.6146077083375594,strategy
sp500_cap_weight,877,0.5313673017463392,0.13026765936893447,0.16800695592850595,0.6939790479205864,0.9905224732782035,0.5317828936284327,-0.24496398987206813,0.5313568985176739,,,,,,benchmark
sp500_equal_weight,877,0.3649040719982093,0.09350476614187553,0.16587460411267746,0.5012848508479018,0.7423965965961986,0.43725672911093094,-0.21384408727567827,0.5336374002280502,,,,,,benchmark
sp500_price_index,877,0.4537747914947321,0.11350571141399501,0.16802600695374234,0.6049615346121766,0.863065682402542,0.4464317800395088,-0.2542509661923035,0.5210946408209807,,,,,,benchmark
universe_equal_weight,877,0.4207372548847148,0.10617489229786292,0.16881098585751428,0.5637194536332685,0.8399387230682872,0.5049787922612852,-0.2102561412973678,0.5347776510832383,,,,,,benchmark
